Month ID,Store ID #,Sub ID#,Electricity acct #,Start date,End date,Consumption month,NOD,Acct./Invoice month,Statement month,Season (H/L),Billing Authority,Tariff Name,Estimate ( E ),TOU/ Non-TOU (T/N),Standard_Start of period,Standard_End of period,Standard_Constant/Factor,Standard_Meter (kWh),Unnamed: 19,Standard/Consump. (kWh), Standard/Amount (R) , Standard/Rate (R/kWh) ,Peak_Start of period,Peak_End of period,Peak_Constant/Factor,Peak_Meter (kWh),Unnamed: 27,Peak_Consump. (kWh),Peak_Amount (R), Peak_Rate (R/kWh) ,kWh Reading (Off-Peak)_Start of period,kWh Reading (Off-Peak)_End of period,kWh Reading (Off-Peak)_Constant/Factor,kWh Reading (Off-Peak)_Meter (kWh),Unnamed: 35,Off-peak_Consump. (kWh),Off-peak_Amount (R), Off-peak_Rate (R/kWh) ,Total_Consump. (kWh),Total_Amount (R), Total_Rate (R/kWh) ,Energy demand charges_Max Demand (kVA), Energy demand charges_Amount (R) , Energy demand charges_Rate (R/kVA) , Capacity charge_Supply capacity (A) , Capacity charge_# POS , Capacity charge_Amount (R) , Capacity charge_Rate (R/A.POS) , Basic/Service_Amount (R) , Basic/Service_Rate (R/period) , Admin_Amount (R) , Admin_Rate (R/unit) ,Total_Amount(R),Electrf. & Rural_Amount (R),Electrf. & Rural_Rate (R/kWh), ENV_Amount (R) ,ENV_Rate (R/kWh),Transm. Network charges_NMD,Transm. Network charges_Amount (R),Transm. Network charges_Rate (R/kVA), Network access_NMD , Network access_Amount (R) , Network access_Rate (R/kVA) , Demand Network Access Charge_NMD , Demand Network Access Charge_Amount ( R) , Rate/NMD (R/kVA) ,Network demand charge_MD,Network demand charge_Amount (R), Network demand charge_Rate/MD (R/kVA) ,Network charge_Rate (R/day),Network charge_Amount (R ),Reactive_Consump. (kVArh),Reactive_Amount (R),Reactive_Rate (R/kVArh), Excess Network Access charge_No of events , Excess Network Access charge_NMD Exceeded (kVA) ,Excess Network Access charge_Amount (R),Excess Network Access charge_Rate (R/kVA),Surcharges_Amount (R),Surcharges_Rate,Energy Charge Surcharge_Consump. (kWh), Energy Charge Surcharge_Amount ( R ) ,Energy Charge Surcharge_Rate,Other_Amount ( R),Other_Load Factor,Total_Amount (R).1,Total_Calc amount (R),Total_Eff. Rate (R/kWh),Site Name,Unnamed: 90
,,,,,,, -   ,,,,,,,,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,0.0,0.0,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,#DIV/0!, -   ,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,, -   ,#DIV/0!,, -   
,,,,,,, -   ,,,,,,,,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,0.0,0.0,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,#DIV/0!, -   ,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,, -   ,#DIV/0!,Springs Fibre Food Services, -   
,,,,,,, -   ,,,,,,,,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,0.0,0.0,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,#DIV/0!, -   ,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,, -   ,#DIV/0!,, -   
,,,,,,, -   ,,,,,,,,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,,,, -   ,,,,#DIV/0!,0.0,0.0,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,#DIV/0!, -   ,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,, -   ,#DIV/0!,, -   
HUH0143617,HUH01,,3500304431.0,6/1/2019,7/1/2019,Jun-19, 30 ,7/16/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,418299.6," 583,527.94 ", 1.3950 ,,,, -   ,,160056.0,634622.04, 3.9650 ,,,, -   ,,596652.0,500829.69, 0.8394 ,1175007.6,1718979.67, 1.46 ,2123.163,138196.68, 65.09 ,,,,#DIV/0!," 3,036.58 ", 101.22 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,168.01 "," 84,660.79 ", 39.05 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,944,873.72 ",R 1.66,," 2,217,156.04 "
HUH0143647,HUH01,,3500304431.0,7/1/2019,8/1/2019,Jul-19, 31 ,8/21/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,468976.8," 739,717.11 ", 1.5773 ,,,, -   ,,186836.4,837624.95, 4.4832 ,,,, -   ,,572712.0,543560.96, 0.9491 ,1228525.2,2120903.02, 1.73 ,2107.754,155130.69, 73.60 ,,,,#DIV/0!," 3,036.58 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,146.14 "," 95,739.32 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 2,374,809.61 ",R 1.93,," 2,707,282.96 "
HUH0143678,HUH01,,3500304431.0,8/1/2019,9/1/2019,Aug-19, 31 ,9/13/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,432452.4," 682,107.17 ", 1.5773 ,,,, -   ,,168436.8,755135.86, 4.4832 ,,,, -   ,,585453.6,555654.01, 0.9491 ,1186342.8,1992897.04, 1.68 ,2009.373,147889.85, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 2,237,582.22 ",R 1.89,," 2,550,843.73 "
HUH0143709,HUH01,,3500304431.0,9/1/2019,10/1/2019,Sep-19, 30 ,10/14/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,384982.8," 421,094.19 ", 1.0938 ,,,, -   ,,151362.0,252441.54, 1.6678 ,,,, -   ,,528447.6,455838.9, 0.8626 ,1064792.4,1129374.63, 1.06 ,1964.613,144595.52, 73.60 ,,,,#DIV/0!," 3,036.59 ", 101.22 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,370,765.48 ",R 1.29,," 1,562,672.65 "
HUH0143739,HUH01,,3500304431.0,10/1/2019,11/1/2019,Oct-19, 31 ,11/20/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,449494.8," 491,657.41 ", 1.0938 ,,,, -   ,,182047.2,303618.32, 1.6678 ,,,, -   ,,543264.0,468619.53, 0.8626 ,1174806.0,1263895.26, 1.08 ,2023.518,148930.92, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,509,621.51 ",R 1.28,," 1,720,968.52 "
HUH0143770,HUH01,,3500304431.0,11/1/2019,12/1/2019,Nov-19, 30 ,12/14/2019,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,428008.8," 468,156.03 ", 1.0938 ,,,, -   ,,169069.2,281973.61, 1.6678 ,,,, -   ,,551233.2," 475,493.76 ", 0.8626 ,1148311.2,1225623.4, 1.07 ,1996.657,146953.96, 73.60 ,,,,#DIV/0!," 3,036.59 ", 101.22 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,469,372.69 ",R 1.28,," 1,675,084.87 "
